rank,name,level,win
1,iiwandy,68,290
2,roookie,Lv.57,213
3,어상내하,Lv.48,129
4,SwordArt77777,Lv.65,265
5,nodfan,Lv.98,150
6,feng jin che hu,48,137
7,Monster toys,78,341
8,T1Zeus,46,110
9,이 차가 식기전에,568,300
10,LSB Kael,287,181
11,오늘의가습기누구,534,229
12,zxcasqwe,65,251
13,Carecare1,60,212
14,채은누나 예쁘다 ,338,223
15,MUDAI,216,288
16,농심라면다내꺼야,227,202
17,디알엑스 태윤,233,159
18,댕청잇,224,113
19,jie yao,51,130
20,전상득,459,410
21,xiaozhewan,69,281
22,knightt,61,217
23,dalongmeil,59,199
24,쪼렙이다말로하자,554,198
25,왁컬로이두,186,103
26,Needquiet,64,249
27,JUGKlNG,333,159
28,fragiIe,231,283
29,타 잔,366,176
30,viper3,446,122
31,lIlIIllIlIIllIlI,237,101
32,희동1,46,115
33,가민준,147,254
34,LSB Envy,233,321
35,우찬굳,264,94
36,KT Castle,656,177
37,srysrysrysrysr,55,191
38,BRO Delight,653,187
39,zzzusss,187,104
40,FA Chasy,339,320
41,메가 영재,536,312
42,tong hua baby,73,211
43,dou ta ma biewan,57,162
44,1987456144Q,46,108
45,cutelin,58,206
46,yjzbaba,53,158
47,geti246,45,106
48,ziyou,315,127
49,잘했지 칭찬해줘,202,148
50,yi jian tian hai,71,165
51,asdasasdasd,73,317
52,헤나의 룩북,329,182
53,T1 Gumayusi,489,170
54,Gen G Peyz,412,192
55,J God1,103,426
56,qwetyz,61,225
57,콩나물이좋아요,680,272
58,Hakunaa Matata,57,191
59,Seven,479,210
60,cainiao3hao,58,203
61,Pa9oda,64,272
62,은가뉴,284,110
63,정훈이의 모험,372,140
64,칼과 창 방패,502,226
65,vicky99,62,216
66,삽살의갑갑,47,81
67,신입 서폿,128,67
68,DK Lucid,286,217
69,lhyzz,119,284
70,징징문,563,206
71,Dont Start Now,649,221
72,gnswognswo,338,90
73,존중겸손아닥집중,459,183
74,BRO Morgan,346,118
75,비둘기 도브,586,222
76,AhnHealth,71,306
77,xiangcai,67,150
78,ShellieMay,101,194
79,커피물조절장인,356,235
80,sicsiksci,192,267
81,1Lq 1Lq,48,128
82,agak,61,151
83,읽씹맨,457,188
84,아아스크림,623,248
85,오뚜기3분미트볼,282,91
