,등록기관,삭제여부,수계,신고일시,접수일시,주소,지원여부
0,공단,N,낙동강,2013-05-28 00:00,2013-05-28 00:00,대구광역시 달성군 다사읍 죽곡리,Y
1,공단,N,낙동강,2013-05-30 00:00,2013-05-30 00:00,부산광역시 강서구 대저1동,N
2,공단,N,낙동강,2013-06-04 00:00,2013-06-04 00:00,대구광역시 달성군 화원읍 성산리,N
3,공단,N,영산강,2013-06-09 00:00,2013-06-09 00:00,전라남도 화순군 화순읍 내평리,N
4,공단,N,낙동강,2013-06-25 00:00,2013-06-25 00:00,경상북도 구미시 신평동,N
5,공단,N,낙동강,2013-06-26 00:00,2013-06-26 00:00,경상북도 칠곡군 지천면 연화리,Y
6,공단,N,금강,2013-06-27 00:00,2013-06-27 00:00,충청북도 청주시 흥덕구 송정동,Y
7,공단,N,금강,2013-06-30 00:00,2013-06-30 00:00,충청북도 청주시 흥덕구 송정동,Y
8,공단,N,한강,2013-07-04 00:00,2013-07-04 00:00,경기도 화성시 송산면 고정리,N
9,공단,N,낙동강,2013-07-12 00:00,2013-07-12 00:00,경상북도 고령군 우곡면 포리,Y
