번호,제목,저자,출판사,출판일
1,Virtual Learning Environments,"Veirum, N.",DCEA,1995
2,Prospects and Challenges for Creating Historic Virtual Environments for Museum Exhibition,"Severson, J.",IOS,2001
3,Virtual Environments Loggins Using BITS,"Dias, A. E. et al",DCEA,1995
4,Virtual GIS Room,"Neves, N. et al",DCEA,1995
5,Teaching with Immersive Virtual Archaeology,"Slator, B.;Clark, J.;Landrum, J.;Bergstrom, A.;Hawley, J.;Johnston, E.;Fisher, S.",IOS,2001
6,Affective Property Evaluation of Virtual Product Designs,"Lee, S.; Kim, J.; Kim, G.; Han, S.; Chen, T.; Pan, Z.","IEEE,",2004
7,Virtual and augmented reality for cultural computing and heritage: a case study of virtual exploration of underwater archaeological sites (preprint),"Haydar, M.; Roussel, D.; Maïdi, M.; Otmane, S.; Mallem, M.",Springer Science + Business Media,2011
8,Conservation and Preservation of Heritage Sites in Sri Lanka with Virtual Heritage,"Sepala, R.",IOS,2001
9,Persuade or Perish: Moving Virtual Heritage beyond Pretty Pictures of the Past,"Sanders, D.",IOS,2001
10,Psychophysics and Technology of 3-Dimensional Virtual Acoustic Displays,unknown,IEEE,2000
11,Digital Mock-Up and the Application of Virtual Reality Technologies,unknown,IEEE,2000
12,Virtual Environments and Mental Health Applications,unknown,IEEE,2000
13,Obtaining Realistic Sounds for Virtual Environments: Digitize or Synthesize?,unknown,IEEE,2000
14,Construction of an Open Geometry Server for Client-Server Virtual Environments,"Faisstnauer, C.;Purgathofer, W.;Gervautz, M.;Gascuel, J.-D.",IEEE,2001
15,Haptics in Virtual Environments,unknown,IEEE,2000
16,What's Real about Virtual Reality?,"Brooks, F. P.",IEEE,1999
17,Exploiting Reality with Multicast Groups: A Network Architecture for Large-Scale Virtual Environments,"Macedonia, M. R.;Zyda, M. J.;Pratt, D. R.;Brutzman, D. P.",IEEE Computer Society Press,1995
18,"Virtual Heritage: Reconstructing the Past, Reconfiguring the Future","Maver, T.",IOS,2001
19,Virtual Reality Applications in the Field of Architectural Reconstructions,"Mehta, M.",IOS,2001
20,Virtual prototyping brings `revolution' to a small engineering business,"Dawson, D.; Xhemali, E.","Bury St Edmunds:; Professional Engineering Pub.,",2003
21,The Future of Shared Virtual Environments,"Capps, M.;Macedonia, M.;McCurdy, K.;Thalmann, D.",IEEE,2000
22,Vestibular Cues and Virtual Environments,"Harris, L.;Jenkin, M.;Zikovitz, D. C.",IEEE Computer Society,1998
23,The Thing Growing: Autonomous Characters in Virtual Reality Interactive Fiction,"Anstey, J.;Pape, D.;Sandin, D.",IEEE,2000
24,Realizing the Full Potential of Virtual Reality: Human Factors Issues That Could Stand in the Way,"Stanney, K.",IEEE Computer Society Press,1995
25,The Perceptive Workbench: Toward Spontaneous and Natural Interaction in Semi-immersive Virtual Environments,"Leibe, B.;Starner, T.;Ribarsky, W.;Wartell, Z.;Krum, D.;Singletary, B.;Hodges, L.",IEEE,2000
26,Real Mirrors Reflecting Virtual Worlds,"Bimber, O.;Encarnacao, L. M.;Schmalstieg, D.",IEEE,2000
27,Dynamic Deformable Models for Enhanced Haptic Rendering in Virtual Environments,"Ramanathan, R.;Metaxas, D.",IEEE,2000
28,Optimization-based Virtual Surface Contact Manipulation at Force Control Rates,"Nelson, D. D.;Cohen, E.",IEEE,2000
29,MPEG-4 for Networked Collaborative Virtual Environments,"Pandzic, I.; Capin, T.; Magnenat Thalmann, N.; Thalmann, D.",IEEE Computer Society,1997
30,"Collaborative Virtual Environments, Real-Time Video and Networking","Pekkola, S.; Robinson, M.",IEEE Computer Society,1997
31,Sensor Based Creation of Indoor Virtual Environment Models,"El-Hakim, S. F.; Boulanger, P.; Blais, F.; Beraldin, J.-A.",IEEE Computer Society,1997
32,Ray-Based Creation of Photo-Realistic Virtual World,"Naemura, T.; Takano, T.; Kaneko, M.; Harashima, H.",IEEE Computer Society,1997
33,Immersive Virtual Reality for Scientific Visualization: A Progress Report,"van Dam, A.",IEEE,2000
34,Crashing in Cyberspace - Evaluating Structural Behavior of Car Bodies in a Virtual Environment,"Schulz, M.;Ertl, T.;Reuding, T.",IEEE Computer Society,1998
35,Designing interaction with consumer products in a multisensory virtual reality environment This paper shows how Virtual Reality technology can be used instead of physical artifacts or mock-ups for the new product and evaluation of its usage,"Bordegoni, M.; Ferrise, F.",Taylor & Francis,2013
36,Volume-based Tumor Neurosurgery Planning in the Virtual Workbench,"G Chua, G.;Serra, L.;Kockro, R. A.;Ng, H.",IEEE Computer Society,1998
37,Virtual Reality in Education: Promise and Reality,"Loftin, B.",IEEE Computer Society,1998
38,"Usability is from Venus, Virtual Environments are from Mars: User-Centered Evaluation Methodology in a New Medium","Darken, R.;Hix, D.;Durlach, N.;Dittmar, M. L.",IEEE Computer Society,1998
39,Virtual Reality Training for the Diagnosis of Prostate Cancer,"Burdea, G.;Patounakis, G.;Popescu, V.;Weiss, R. E.",IEEE Computer Society,1998
40,Virtual Reality for Training: Evaluating Knowledge Retention,"Hall, C. R.;Stiles, R. J.;Horwitz, C. D.",IEEE Computer Society,1998
41,Relating Real and Virtual Space in Art,"Kusahara, M.;Fisher, S. S.;Tanaka, A.;Mignonneau, L.",IEEE,2001
42,Textured Virtual Walls - Achieving Interactive Frame Rates During Walkthroughs of Complex Indoor Environments,"Ebbesmeyer, P.",IEEE Computer Society,1998
43,Generation of Wide-Range Virtual Spaces Using Photographic Images,"Hirose, M.;Watanabe, S.;Endo, T.",IEEE Computer Society,1998
44,A Local Perception Filter for Distributed Virtual Environments,"Sharkey, P. M.;Ryan, M. D.;Roberts, D. J.",IEEE Computer Society,1998
45,"Bamboo - A Portable System for Dynamically Extensible, Real-Time, Networked, Virtual Environments","Watsen, K.;Zyda, M.",IEEE Computer Society,1998
46,Space-Scale Structure for Information Rejection in Large-Scale Distributed Virtual Environments,"Farcet, N.;Torguet, P.",IEEE Computer Society,1998
47,The NICE Project: Learning Together in a Virtual World,"Johnson, A.;Roussos, M.;Leigh, J.;Vasilakis, C.",IEEE Computer Society,1998
48,"Fact, Fiction, Fantasy: The Information Impact of Virtual Heritage","Thwaites, H.",IOS,2001
49,Workshop 1: Virtual Reality and its Application for Human Centered System,"Takemura, H.;Sato, M.",IEEE,2001
50,Tutorial 4: Usability Evaluation Techniques for Virtual Reality Technologies,"Ellis, S.;Mania, K.;Chalmers, A.;Billinghurst, M.;Steed, A.",IEEE,2001
51,Finite Element Methods for Real-Time Haptic Feedback of Soft-Tissue Models in Virtual Reality Simulators,"Frank, A. O.;Twombly, I. A.;Barth, T. J.;Smith, J. D.",IEEE,2001
52,Tolerance of Temporal Delay in Virtual Environments,"Allison, R. S.;Harris, L. R.;Jenkin, M.;Jasiobedzka, U.;Zacher, J. E.",IEEE,2001
