review_score,review_content,label
5,배송 빠르고 굿,1
2,택배가 엉망이네용 저희집 밑에층에 말도없이 놔두고가고,0
5,아주 좋아요 바지 정말 좋아서개 더 구매했어요 이 가격에 대박입니다 바느질이 조금 엉성하긴 하지만 편하고 가성비 최고예요,1
2,선물용으로 빨리 받아서 전달했어야 하는 상품이었는데 머그컵만 와서 당황했습니다 전화했더니 바로 주신다했지만 배송도 누락되어있었네요 확인안하고 바로 선물했으면 큰일 날 뻔했네요 이렇게 배송이 오래 걸렸으면 사는거 다시 생각했을거 같아요 아쉽네요,1
5,민트 색상 예뻐요 옆 손잡이는 거는 용도로도 사용되네요 ㅎㅎ,1
2,비추합니다 계란 뒤집을 때 완전 불편해요 ㅠㅠ 코팅도 묻어나고 보기엔 예쁘고 실용적으로 보였는데 생각보다 진짜 별로입니다,1
1,주문을 월 에 시켰는데 월 일에 배송이 왔네요 ㅎㅎㅎ 여기 회사 측과는 전화도 안되고 아무런 연락을 받을수가 없으니 답답하신 분들은 다른곳에서 사시는거 추천드립니다,0
2,넉넉한 길이로 주문했는데도 안 맞네요 별로예요,0
2,보폴이 계속 때처럼 나오다가 지금은 안나네요,0
2,인데 전문 속옷 브랜드 위생 팬티 보다 작은 듯해요 불편해요 밴딩부분이 다 신축성 없는 일반실로 되어있어 빅사이즈임에도 빅사이즈 같지 않아요 입고 벗을 때 편하게 밴딩 부분이 늘어나고 입었을때도 밴딩이 잡아주어야하는데 말이죠,0
5,사이즈도 딱이고 귀엽고 넘 좋아요 ㅎㅎ,1
2,베이지 색 구매했는데 약간 살색에 가까워요,0
2,화면 빨인가봐요 노란 컬러가 돋보여요 저렴한 맛에 그냥 씁니다,1
2,별루 ㅏㅛㅇ치ㅗ티ㅓ치ㅗ탛캏타ㅗ티ㅗ티ㅗ티ㅛ티ㅛ티ㅗㅗㅗ치ㅕ치ㅕ쳐ㅣ처ㅣ치ㅓ처ㅣ펴ㅣ쳐ㅣ치ㅕㅐㅛㅌ쵸ㅔ려ㅔㅎ,0
5,촉감도 좋고 무게감이나 핏도 편합니다,1
5,불멍하기좋고 사이즈도 너무 좋아요,1
5,재구매 친구들이 좋은 향 난다고 해요,1
1,실내에서 신는건지 몰랐어요,0
4,재구매 다 좋은데 하나가 이상하네요,1
5,가게를 운영하는 사장님께서 대신 구매 해달라고 하셔서 구매하게되었는데 가게에 달아놓으니까 이쁘네요,1
4,가성비 괜찮습니다 바퀴가 고정된다면 별 다섯개짜린데,1
2,화장이 깨끗하게 지워지지 않아요 거품이 생기고 오랫동안 문질러서 씻어내야하지만 세정력이 별로인듯해요,0
1,남자 애들인데 너무 좋아요 유해성분없어 초등들도 바르기좋아요,1
2,채집통이 결착이 안됩니다 채집통이 결착이 안되서 커터칼로 결착 부분과 모서리 부분을 깍아 냈더니 겨우 결착이 됩니다 해당 부분은 제품 불량 이슈 같구요 보내시기 전에 최소한의 테스트는 하고 보내주세요,0
5,재구매 늘 사는 흙이에요 팽이들이 젤 좋아해요 빠른 배송 감사합니다,1
2,처음 쓸 때만 좋고 쓰다 보니 의자 뺄 때 소리 계속 나요 그래서 붙이는 부직포 덧붙였는데 여전히 끌리네요 비추에요 테니스공으로 살 껄 이쁜 거 산다고 이거 사서 후회되요,1
2,배송 기사나 판매하는 회사나 불친절하고 불쾌합니다 서비스면에선 최악이네요 제품은 그럭저럭 쓸만합니다 싼 게 비지떡 마인드부터 갖추고 장사하시길 바랍니다 이익에 눈,1
1,저렴해서 구매 했지만 바지 완성도 떨어짐,0
2,사용이 불편하고 잘빠지네요ㅜ,0
1,양은 많은데 맛은 없었습니다,0
2,설치 할 때 전압이 넘 높아 퓨즈 나갔어여,0
2,첨에 받았을 땐 너무 튼튼하구 칸막이도 있구 넘 맘에 들었는데요 지금도 맘에는 들어요 근데 먼지가 먼지가 세상 먼지 다 묻어요ㅠㅠ 흑흑ㅠ 집에 가만히 뒀는데도 먼지가 다 묻어있어요ㅠ 한번 들고 그냥 모셔두었어요ㅜㅜ 까만색은 넘나 비추입니다ㅠ 아이보리로 살껄ㅠ,1
2,휴대폰 각이 잘 안나옴 노트 사용 얇은 케이스 꺼도 잘 빠지지가 않네요 진짜 불편한건 각도가 조절이 너무 조금 된다는 점 입니다,0
5,너무 생각보다 고급스럽,1
5,가볍고 좋아요 옵션에 파우치도 있었으면 얼마나 좋았을까 아쉽네요 따로 구매 했어요 잘 사용할께요,1
1,총 개 샀는데 사용하기 전에 부드러운 물티슈로 닦았는데 프린트가 번졌네요 교환하기가 귀찮아서 그냥 쓰지만 아쉽네요,0
2,모기가 않들어가요,0
5,선물 준 사람도 받은 사람도 모두 만족했어요,1
1,예쁘고 심플해서 샀는데 재질이 깔끄러워요 살에 자국 다 베이고ㅠㅠ 폭망이에요 재대로 확인 안 한 제 잘못이죠 참고로 싱글세트  퀸세트  샀습니다,0
4,고정이 잘되기는 하는데 많이 쓰면 떡진 것처럼 보일까봐 걱정되서 많이 못쓰겠어요,0
